a0 a1 ai b0 b1 bi ri ro c => R(a0,ai,T) R(b0,bi,T) R(S(a0,b0)) R(a1,ai,T) R(b1,bi,T) R(S(a1,b1)) C(a1,b1)

a0(1) a1(1) ai(0) b0(1) b1(1) bi(0) ri(1) ro(0) c(1) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(1) R(b1,bi,T)(1) R(S(a1,b1))(0) C(a1,b1)(1)
a0(1) a1(1) ai(0) b0(0) b1(0) bi(0) ri(1) ro(1) c(0) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(1) R(b1,bi,T)(1) R(S(a1,b1))(1) C(a1,b1)(1)
a0(0) a1(0) ai(0) b0(1) b1(0) bi(1) ri(1) ro(0) c(1) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(1) R(b1,bi,T)(0) R(S(a1,b1))(0) C(a1,b1)(1)
a0(0) a1(0) ai(0) b0(0) b1(0) bi(0) ri(0) ro(1) c(0) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(1) R(a1,ai,T)(1) R(b1,bi,T)(0) R(S(a1,b1))(0) C(a1,b1)(1)
a0(1) a1(1) ai(0) b0(1) b1(1) bi(1) ri(1) ro(0) c(1) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(1) R(b1,bi,T)(1) R(S(a1,b1))(0) C(a1,b1)(1)
a0(0) a1(0) ai(0) b0(1) b1(0) bi(0) ri(0) ro(1) c(0) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(1) R(a1,ai,T)(1) R(b1,bi,T)(1) R(S(a1,b1))(1) C(a1,b1)(1)
a0(0) a1(0) ai(0) b0(1) b1(0) bi(1) ri(1) ro(1) c(0) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(1) R(b1,bi,T)(0) R(S(a1,b1))(0) C(a1,b1)(1)
a0(1) a1(1) ai(0) b0(0) b1(1) bi(0) ri(1) ro(1) c(0) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(1) R(b1,bi,T)(0) R(S(a1,b1))(0) C(a1,b1)(1)
a0(1) a1(0) ai(0) b0(0) b1(0) bi(0) ri(1) ro(0) c(1) => R(a0,ai,T)(1) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(1) R(b1,bi,T)(0) R(S(a1,b1))(0) C(a1,b1)(1)
a0(0) a1(0) ai(1) b0(1) b1(0) bi(1) ri(1) ro(1) c(1) => R(a0,ai,T)(0) R(b0,bi,T)(1) R(S(a0,b0))(0) R(a1,ai,T)(0) R(b1,bi,T)(0) R(S(a1,b1))(1) C(a1,b1)(0)
