d ar br r => B(d) aw bw

d(0) ar(0) br(0) r(0) => B(d)(0) aw(0) bw(0)
d(0) ar(0) br(0) r(1) => B(d)(1) aw(1) bw(1)
d(0) ar(0) br(1) r(0) => B(d)(1) aw(1) bw(1)
d(0) ar(0) br(1) r(1) => B(d)(1) aw(1) bw(1)
d(0) ar(1) br(0) r(0) => B(d)(1) aw(1) bw(1)
d(0) ar(1) br(0) r(1) => B(d)(1) aw(1) bw(1)
d(0) ar(1) br(1) r(0) => B(d)(1) aw(1) bw(1)
d(0) ar(1) br(1) r(1) => B(d)(1) aw(1) bw(1)
d(1) ar(0) br(0) r(0) => B(d)(1) aw(1) bw(1)
d(1) ar(0) br(0) r(1) => B(d)(1) aw(1) bw(1)
d(1) ar(0) br(1) r(0) => B(d)(1) aw(1) bw(1)
d(1) ar(0) br(1) r(1) => B(d)(1) aw(1) bw(1)
d(1) ar(1) br(0) r(0) => B(d)(1) aw(1) bw(1)
d(1) ar(1) br(0) r(1) => B(d)(1) aw(1) bw(1)
d(1) ar(1) br(1) r(0) => B(d)(1) aw(1) bw(1)
d(1) ar(1) br(1) r(1) => B(d)(1) aw(1) bw(1)
