a d0 d1 i o => R(d0,i0,o0) R(d1,i0,o0) R(d0,i1,o1) R(d1,i1,o1)

a(0) d0(0) d1(0) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(0) d1(0) i(0) o(1) => R(d0,i0,o0)(1) R(d1,i0,o0)(1) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(0) d1(0) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(0) d1(0) i(1) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(0) d1(1) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(0) d1(1) i(0) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(0) d1(1) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(0) d1(1) i(1) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(1) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(0) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(0) i(0) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(1) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(0) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(0) i(1) o(1) => R(d0,i0,o0)(1) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(1) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(1) i(0) o(1) => R(d0,i0,o0)(1) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(1) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(0) d0(1) d1(1) i(1) o(1) => R(d0,i0,o0)(1) R(d1,i0,o0)(1) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(0) d1(0) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(0) d1(0) i(0) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(1) R(d1,i1,o1)(1)
a(1) d0(0) d1(0) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(0) d1(0) i(1) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(0) d1(1) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(0) d1(1) i(0) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(0) d1(1) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(0) d1(1) i(1) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(1)
a(1) d0(1) d1(0) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(1) d1(0) i(0) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(1)
a(1) d0(1) d1(0) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(1) d1(0) i(1) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(1) R(d1,i1,o1)(0)
a(1) d0(1) d1(1) i(0) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(1) d1(1) i(0) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(1) R(d1,i1,o1)(0)
a(1) d0(1) d1(1) i(1) o(0) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(0) R(d1,i1,o1)(0)
a(1) d0(1) d1(1) i(1) o(1) => R(d0,i0,o0)(0) R(d1,i0,o0)(0) R(d0,i1,o1)(1) R(d1,i1,o1)(1)
